"time","n.risk","n.event","survival","std.err","lower","upper","strata"
308,197,1,0.860715344345034,0.0225292830852467,0.817672302152087,0.906024212928758,"axis_group_median=high"
321,195,1,0.856301419502239,0.0228420431208219,0.812682038405752,0.902261999637618,"axis_group_median=high"
336,194,2,0.847473569816649,0.0234439806806905,0.802747670056928,0.89469141839657,"axis_group_median=high"
340,192,1,0.843059644973854,0.0237337563141906,0.797802393316969,0.890884222631127,"axis_group_median=high"
354,191,1,0.838645720131059,0.0240164323137653,0.792871011188738,0.887063133812467,"axis_group_median=high"
370,189,1,0.834208441188566,0.0242958195596044,0.787923124486189,0.883212716727995,"axis_group_median=high"
375,188,1,0.829771162246074,0.0245684475551223,0.782988464894459,0.879349074175706,"axis_group_median=high"
376,187,1,0.825333883303582,0.0248345389059165,0.778066596137925,0.875472642457742,"axis_group_median=high"
414,184,1,0.820848373068236,0.0251013773256457,0.773095900984442,0.871550412711773,"axis_group_median=high"
434,179,1,0.816262627967296,0.0253765717808674,0.768010459394526,0.867546359122964,"axis_group_median=high"
442,176,1,0.811624772126573,0.0256526963853217,0.762872062253798,0.863493111523015,"axis_group_median=high"
444,175,1,0.80698691628585,0.0259219678748774,0.757747072242451,0.859426458922927,"axis_group_median=high"
460,172,1,0.802295131888839,0.0261924156433773,0.752566878822103,0.855309337636537,"axis_group_median=high"
464,170,1,0.797575748760081,0.0264600991653785,0.747365025293085,0.851159812784578,"axis_group_median=high"
468,167,1,0.792799846072895,0.0267291927297502,0.742104995717472,0.846957774924472,"axis_group_median=high"
478,164,1,0.787965700670011,0.0269998143281591,0.736784887742671,0.842701792289248,"axis_group_median=high"
488,161,1,0.78307150377144,0.0272720865920091,0.731402707793851,0.83839036071999,"axis_group_median=high"
500,160,1,0.778177306872868,0.0275372862250801,0.726034359088622,0.834065100847374,"axis_group_median=high"
503,159,1,0.773283109974297,0.0277956156692903,0.72067944478221,0.829726409572048,"axis_group_median=high"
550,148,1,0.768058224096092,0.0280945903921923,0.714921366508667,0.825144502929738,"axis_group_median=high"
557,145,1,0.762761270826464,0.0283957881320444,0.709088471361715,0.820496707774024,"axis_group_median=high"
561,144,1,0.757464317556836,0.0286883885507841,0.703272383929181,0.81583210926937,"axis_group_median=high"
574,138,1,0.751975445690482,0.0290008340118186,0.697229979162963,0.811019445262884,"axis_group_median=high"
586,135,1,0.746405257203885,0.0293160658289315,0.691102731344251,0.806133130016652,"axis_group_median=high"
593,133,1,0.740793187600849,0.029627943472663,0.684941161915437,0.801199544295424,"axis_group_median=high"
594,132,1,0.735181117997812,0.0299302841709938,0.678798230049428,0.796247327016684,"axis_group_median=high"
598,131,1,0.729569048394775,0.0302233741348914,0.672673374557732,0.791277039507643,"axis_group_median=high"
614,128,1,0.723869290204191,0.0305199744555836,0.666456120391887,0.786228430151721,"axis_group_median=high"
624,125,1,0.718078335882557,0.0308203151194561,0.660142644209817,0.781098601925761,"axis_group_median=high"
625,124,1,0.712287381560924,0.0311110506562541,0.653847930747745,0.775950018455674,"axis_group_median=high"
628,123,1,0.70649642723929,0.0313924479356068,0.647571456583039,0.770783203348119,"axis_group_median=high"
656,118,1,0.70050916938133,0.0316922211410441,0.641067891046644,0.765461978740123,"axis_group_median=high"
666,115,1,0.694417785299754,0.0319966773907692,0.634453847254422,0.760049076268334,"axis_group_median=high"
677,113,1,0.688272495164357,0.03229826314539,0.627792974158885,0.754578415335815,"axis_group_median=high"
694,110,1,0.682015472481045,0.0326050849847363,0.621013256545963,0.749009944313671,"axis_group_median=high"
701,109,1,0.675758449797733,0.0329008500401447,0.614255120448817,0.743419903670278,"axis_group_median=high"
711,106,1,0.66938337008266,0.0332023585995648,0.607371098644857,0.737727061993804,"axis_group_median=high"
731,101,1,0.66275581196303,0.0335285651114533,0.600193906273601,0.731838930218233,"axis_group_median=high"
737,100,1,0.656128253843399,0.0338419722045707,0.593041684854552,0.725925843808387,"axis_group_median=high"
